LINE,X_UTM14N,Y_UTM14N,LAT_WGS84,LON_WGS84,DOI_SAMPL,DEM_SAMPL,ELEVATION_TOP[0],ELEVATION_TOP[1],ELEVATION_TOP[2],ELEVATION_TOP[3],ELEVATION_TOP[4],ELEVATION_TOP[5],ELEVATION_TOP[6],ELEVATION_TOP[7],ELEVATION_TOP[8],ELEVATION_TOP[9],ELEVATION_TOP[10],ELEVATION_TOP[11],ELEVATION_TOP[12],ELEVATION_TOP[13],ELEVATION_TOP[14],ELEVATION_TOP[15],ELEVATION_TOP[16],ELEVATION_TOP[17],ELEVATION_TOP[18],ELEVATION_TOP[19],ELEVATION_TOP[20],ELEVATION_TOP[21],ELEVATION_TOP[22],ELEVATION_TOP[23],ELEVATION_TOP[24],ELEVATION_TOP[25],ELEVATION_TOP[26],ELEVATION_TOP[27],RES2_REF30_ABOVE_DOI_SAMPL[0],RES2_REF30_ABOVE_DOI_SAMPL[1],RES2_REF30_ABOVE_DOI_SAMPL[2],RES2_REF30_ABOVE_DOI_SAMPL[3],RES2_REF30_ABOVE_DOI_SAMPL[4],RES2_REF30_ABOVE_DOI_SAMPL[5],RES2_REF30_ABOVE_DOI_SAMPL[6],RES2_REF30_ABOVE_DOI_SAMPL[7],RES2_REF30_ABOVE_DOI_SAMPL[8],RES2_REF30_ABOVE_DOI_SAMPL[9],RES2_REF30_ABOVE_DOI_SAMPL[10],RES2_REF30_ABOVE_DOI_SAMPL[11],RES2_REF30_ABOVE_DOI_SAMPL[12],RES2_REF30_ABOVE_DOI_SAMPL[13],RES2_REF30_ABOVE_DOI_SAMPL[14],RES2_REF30_ABOVE_DOI_SAMPL[15],RES2_REF30_ABOVE_DOI_SAMPL[16],RES2_REF30_ABOVE_DOI_SAMPL[17],RES2_REF30_ABOVE_DOI_SAMPL[18],RES2_REF30_ABOVE_DOI_SAMPL[19],RES2_REF30_ABOVE_DOI_SAMPL[20],RES2_REF30_ABOVE_DOI_SAMPL[21],RES2_REF30_ABOVE_DOI_SAMPL[22],RES2_REF30_ABOVE_DOI_SAMPL[23],RES2_REF30_ABOVE_DOI_SAMPL[24],RES2_REF30_ABOVE_DOI_SAMPL[25],RES2_REF30_ABOVE_DOI_SAMPL[26],RES2_REF30_ABOVE_DOI_SAMPL[27]
10010,678750.92,4852633.33,43.48.18.5897,-96.46.39.8973,98.38,480.76,480.76,479.75,478.61,477.31,475.84,474.18,472.29,470.15,467.72,464.97,461.84,458.3,454.28,449.73,444.56,438.7,432.06,424.53,415.98,406.3,395.31,382.85,368.72,352.69,334.52,313.92,290.55,264.04,81.14,72.19,57.56,42.18,30.5,25.01,26.97,38.25,61.89,99.75,148.16,195.71,225.71,222.14,177.5,103.2,35.59,6.92,12.22,31.72,61.08,88.47,-99999,-99999,-99999,-99999,-99999,-99999
10010,678752.66,4852633.58,43.48.18.5963,-96.46.39.8194,98.31,480.78,480.78,479.77,478.63,477.33,475.87,474.2,472.31,470.17,467.74,464.99,461.86,458.32,454.3,449.75,444.58,438.73,432.08,424.55,416.01,406.32,395.33,382.87,368.74,352.72,334.54,313.94,290.57,264.07,82.4,73.23,58.21,42.41,30.38,24.65,26.47,37.79,61.92,101.11,151.79,202.15,234.62,232.02,185.84,107.52,36.2,6.65,11.84,30.54,58.79,85.79,-99999,-99999,-99999,-99999,-99999,-99999
10010,678754.39,4852633.83,43.48.18.6029,-96.46.39.7415,98.24,480.78,480.78,479.77,478.63,477.33,475.87,474.2,472.31,470.17,467.74,464.99,461.86,458.32,454.3,449.75,444.58,438.73,432.08,424.55,416.0,406.32,395.33,382.87,368.74,352.72,334.54,313.94,290.57,264.06,85.11,75.53,59.81,43.22,30.54,24.35,25.89,37.1,61.49,101.57,153.88,206.27,240.66,239.22,192.55,111.61,37.21,6.55,11.46,29.21,55.94,81.67,-99999,-99999,-99999,-99999,-99999,-99999
10010,678756.13,4852634.08,43.48.18.6095,-96.46.39.6636,98.16,480.8,480.8,479.79,478.65,477.35,475.89,474.22,472.33,470.19,467.76,465.01,461.88,458.34,454.33,449.77,444.6,438.75,432.1,424.57,416.03,406.34,395.35,382.89,368.76,352.74,334.56,313.96,290.59,264.09,89.15,78.98,62.24,44.53,30.92,24.11,25.25,36.24,60.68,101.26,154.47,207.97,243.55,243.25,197.09,115.08,38.43,6.57,11.15,27.95,52.87,76.62,-99999,-99999,-99999,-99999,-99999,-99999
10010,678757.86,4852634.33,43.48.18.6161,-96.46.39.5857,98.09,480.8,480.8,479.79,478.65,477.36,475.89,474.22,472.33,470.19,467.76,465.01,461.89,458.34,454.33,449.77,444.61,438.75,432.11,424.57,416.03,406.34,395.35,382.89,368.76,352.74,334.57,313.96,290.59,264.09,94.78,83.81,65.68,46.44,31.56,23.91,24.53,35.18,59.51,100.24,153.77,207.67,243.91,244.82,200.0,118.11,39.8,6.69,10.94,26.82,49.65,70.86,-99999,-99999,-99999,-99999,-99999,-99999
10010,678759.6,4852634.58,43.48.18.6227,-96.46.39.5078,98.02,480.82,480.82,479.82,478.67,477.38,475.91,474.24,472.36,470.21,467.79,465.03,461.91,458.37,454.35,449.79,444.63,438.77,432.13,424.59,416.05,406.36,395.37,382.91,368.78,352.76,334.59,313.98,290.61,264.11,101.54,89.64,69.87,48.8,32.43,23.79,23.81,34.07,58.17,98.81,152.21,205.91,242.38,244.57,201.82,121.0,41.37,6.87,10.8,25.75,46.29,64.81,-99999,-99999,-99999,-99999,-99999,-99999
10010,678761.33,4852634.83,43.48.18.6294,-96.46.39.4299,97.94,480.83,480.83,479.82,478.68,477.38,475.91,474.25,472.36,470.22,467.79,465.03,461.91,458.37,454.35,449.8,444.63,438.77,432.13,424.6,416.05,406.36,395.38,382.92,368.79,352.76,334.59,313.98,290.61,264.11,108.32,95.59,74.33,51.51,33.62,23.94,23.23,32.52,54.61,92.16,143.45,199.15,242.32,252.25,213.62,132.1,47.83,7.89,7.91,23.62,64.1,126.18,-99999,-99999,-99999,-99999,-99999,-99999
10010,678763.04,4852635.07,43.48.18.6356,-96.46.39.3534,97.87,480.85,480.85,479.84,478.7,477.4,475.94,474.27,472.38,470.24,467.81,465.06,461.93,458.39,454.38,449.82,444.65,438.8,432.15,424.62,416.08,406.39,395.4,382.94,368.81,352.79,334.61,314.01,290.64,264.14,117.42,103.58,80.27,55.04,35.04,23.91,22.26,31.01,53.33,93.0,149.73,215.53,272.83,295.01,255.17,154.34,51.61,8.15,8.15,28.68,76.56,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678764.74,4852635.31,43.48.18.6419,-96.46.39.2770,97.8,480.85,480.85,479.85,478.7,477.41,475.94,474.27,472.39,470.24,467.82,465.06,461.94,458.4,454.38,449.82,444.66,438.8,432.16,424.62,416.08,406.39,395.4,382.94,368.81,352.79,334.62,314.01,290.64,264.14,125.45,110.72,85.76,58.52,36.69,24.24,21.74,29.8,51.45,90.58,147.3,214.16,273.97,299.73,262.93,162.13,55.86,9.09,7.93,27.84,72.31,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
10010,678766.44,4852635.55,43.48.18.6482,-96.46.39.2005,97.72,480.87,480.87,479.87,478.73,477.43,475.96,474.3,472.41,470.27,467.84,465.08,461.96,458.42,454.4,449.85,444.68,438.82,432.18,424.64,416.1,406.41,395.43,382.97,368.84,352.81,334.64,314.03,290.66,264.16,132.37,116.93,90.61,61.68,38.25,24.65,21.38,28.82,49.76,88.11,144.24,211.3,272.84,302.11,269.38,170.25,61.1,10.42,7.64,26.27,65.37,-99999.0,-99999,-99999,-99999,-99999,-99999,-99999
