LINE,X,Y,FID,Z,BALT,LASER,ALTRADAR,DTM,MAGSP,DIURNAL,MAGLD,IGRF,MAG,CPPL,CXSP,CPSP,CPI400_CAL,CPQ400_CAL,CPI1800_CAL,CPQ1800_CAL,CXI3300_CAL,CXQ3300_CAL,CPI8200_CAL,CPQ8200_CAL,CPI40K_CAL,CPQ40K_CAL,CPI140K_CAL,CPQ140K_CAL,CPI400_R,CPQ400_R,CPI1800_R,CPQ1800_R,CXI3300_R,CXQ3300_R,CPI8200_R,CPQ8200_R,CPI40K_R,CPQ40K_R,CPI140K_R,CPQ140K_R,CPI400,CPQ400,CPI1800,CPQ1800,CXI3300,CXQ3300,CPI8200,CPQ8200,CPI40K,CPQ40K,CPI140K,CPQ140K,RES400,RES1800,RES3300,RES8200,RES40K,RES140K,DEP400,DEP1800,DEP3300,DEP8200,DEP40k,DEP140k,DRES400,DRES1800,DRES8200,DRES40K,DRES140K,DDEP400,DDEP1800,DDEP8200,DDEP40K,DDEP140K,CEN400,CEN1800,CEN8200,CEN40K,CEN140K,UTC,FLIGHT,DATE,LATWGS84,LONWGS84,ALTL_LP,ALTR,KPA,Z_BIRD,X_HELI,Y_HELI,Z_HELI,PITCH,ROLL,YAW,DRES_100_by5m[0],DRES_100_by5m[1],DRES_100_by5m[2],DRES_100_by5m[3],DRES_100_by5m[4],DRES_100_by5m[5],DRES_100_by5m[6],DRES_100_by5m[7],DRES_100_by5m[8],DRES_100_by5m[9],DRES_100_by5m[10],DRES_100_by5m[11],DRES_100_by5m[12],DRES_100_by5m[13],DRES_100_by5m[14],DRES_100_by5m[15],DRES_100_by5m[16],DRES_100_by5m[17],DRES_100_by5m[18],DRES_100_by5m[19],DRES_100_by5m[20]
10010,601756.059,4657899.435,3891.8,278.248,247.627,54.711,81.934,224.635,53712.116,-5.707,53717.851,53954.812,-228.026,0.0011408,4.16e-05,0.0001623,20.494,31.315,59.969,82.718,21.451,37.665,133.191,133.412,422.733,227.699,585.265,169.786,20.967,30.524,58.383,83.883,22.44,38.789,137.118,136.705,430.052,235.047,606.475,167.539,20.919,30.983,58.4,83.879,22.441,38.89,163.905,163.901,429.924,234.974,606.297,167.194,24.61,57.35,123.44,85.17,82.67,61.77,26.12,4.6,-4.27,-0.71,-3.23,-1.33,10.55,40.3,87.32,91.99,61.77,94.23,61.51,32.79,15.9,6.0,63.79,44.66,25.21,11.32,5.41,56723.8,55002,20170405,42.06657146,-91.7700506,54.55,270.767,98.443,278.248,601764.389,4657893.202,309.992,12.152,-0.298,-36.721,61.77,61.77,72.56,88.72,90.83,89.44,88.08,82.28,71.92,62.86,54.94,48.02,41.97,34.93,28.46,23.19,18.9,15.4,12.55,10.55,-99999.0
10010,601755.274,4657899.479,3891.9,278.223,247.627,54.694,81.818,224.653,53712.132,-5.706,53717.85,53954.814,-228.032,0.0008177,5.44e-05,0.0001685,20.348,31.177,59.738,82.821,21.676,37.871,133.791,133.746,424.127,228.774,587.068,170.172,21.107,30.3,58.112,84.078,22.274,38.859,138.026,136.913,430.852,235.329,607.271,167.796,21.059,30.759,58.129,84.074,22.275,38.959,164.994,164.15,430.724,235.256,607.094,167.451,24.13,57.97,125.13,84.2,82.48,61.74,26.87,4.42,-4.5,-0.62,-3.21,-1.31,9.91,41.6,85.67,91.77,61.74,93.91,61.6,32.65,15.88,5.99,63.17,44.91,25.06,11.31,5.41,56723.9,55002,20170405,42.06657195,-91.77006008,54.6,273.361,98.443,278.223,601763.763,4657893.447,309.977,12.311,-0.01,-37.319,61.74,61.74,72.5,88.58,90.23,88.4,86.6,80.8,71.32,62.95,55.57,49.05,43.29,35.77,28.65,22.95,18.38,14.72,11.79,-99999.0,-99999.0
10010,601754.489,4657899.522,3892.0,278.198,247.627,54.685,81.724,224.66,53712.128,-5.706,53717.866,53954.815,-228.023,0.0008261,3.17e-05,0.0001709,20.373,30.998,59.537,82.926,21.94,38.253,134.056,134.03,424.44,229.403,590.387,170.157,21.242,30.094,57.817,84.235,22.104,38.951,138.737,137.091,431.601,235.449,607.929,168.101,21.194,30.553,57.834,84.231,22.104,39.052,165.848,164.364,431.473,235.376,607.751,167.756,23.69,58.61,126.97,83.46,82.21,61.79,27.56,4.24,-4.76,-0.56,-3.19,-1.3,9.32,42.85,84.52,91.46,61.79,93.63,61.71,32.54,15.86,5.98,62.59,45.15,24.95,11.29,5.41,56724.0,55002,20170405,42.06657245,-91.77006956,54.6,257.492,98.443,278.198,601763.137,4657893.692,309.963,12.467,0.259,-37.923,61.79,61.79,72.48,88.41,89.69,87.59,85.55,79.82,71.05,63.24,56.29,50.1,44.59,36.62,28.83,22.7,17.87,14.07,11.08,-99999.0,-99999.0
10010,601753.707,4657899.581,3892.1,278.191,247.627,54.681,81.656,224.675,53712.112,-5.705,53717.873,53954.817,-228.021,0.0010484,2.96e-05,0.0003197,20.63,30.988,59.388,83.035,22.277,38.551,133.916,134.432,424.41,229.919,594.457,169.774,21.354,29.935,57.508,84.338,21.959,39.069,139.201,137.258,432.371,235.49,608.463,168.395,21.305,30.394,57.525,84.335,21.96,39.17,166.405,164.564,432.243,235.417,608.285,168.05,23.34,59.24,128.67,83.02,81.88,61.85,28.1,4.07,-5.03,-0.53,-3.17,-1.3,8.82,43.96,84.0,91.1,61.85,93.44,61.87,32.47,15.83,5.97,62.12,45.4,24.89,11.27,5.42,56724.1,55002,20170405,42.06657308,-91.77007901,54.68,267.792,98.443,278.191,601762.45,4657893.912,309.947,12.611,0.507,-38.534,61.85,61.85,72.46,88.19,89.26,87.11,85.01,79.44,71.16,63.74,57.09,51.14,45.8,37.48,29.06,22.54,17.48,13.55,10.51,-99999.0,-99999.0
10010,601752.924,4657899.639,3892.2,278.183,246.74,54.68,81.613,224.682,53712.096,-5.704,53717.864,53954.818,-228.035,0.0010698,9.51e-05,0.0002442,20.852,31.393,59.249,83.12,22.594,38.594,133.633,135.056,424.706,230.604,598.335,168.807,21.419,29.832,57.191,84.383,21.863,39.208,139.453,137.457,433.201,235.531,608.879,168.62,21.37,30.291,57.208,84.38,21.864,39.309,166.708,164.804,433.073,235.458,608.701,168.275,23.12,59.85,130.0,82.88,81.53,61.9,28.43,3.9,-5.28,-0.53,-3.16,-1.3,8.48,44.91,84.04,90.71,61.9,93.4,62.05,32.43,15.79,5.96,61.83,45.63,24.87,11.24,5.42,56724.2,55002,20170405,42.06657371,-91.77008845,54.65,261.841,98.453,278.183,601761.764,4657894.132,309.931,12.733,0.734,-39.152,61.9,61.9,72.43,87.96,88.97,86.95,84.98,79.58,71.6,64.41,57.94,52.13,46.9,38.38,29.42,22.55,17.28,13.25,10.16,-99999.0,-99999.0
10010,601752.142,4657899.698,3892.3,278.176,247.036,54.68,81.591,224.684,53712.096,-5.704,53717.836,53954.819,-228.07,0.0008621,2.73e-05,0.0001355,20.86,31.904,59.114,83.162,22.798,38.484,133.501,135.633,425.591,231.6,601.413,167.4,21.402,29.772,56.882,84.379,21.824,39.352,139.581,137.737,434.071,235.639,609.19,168.733,21.354,30.231,56.899,84.375,21.825,39.452,166.861,165.14,433.943,235.566,609.012,168.388,23.11,60.42,130.8,82.96,81.2,61.9,28.54,3.77,-5.47,-0.57,-3.16,-1.3,8.33,45.69,84.47,90.34,61.9,93.55,62.24,32.42,15.76,5.94,61.81,45.84,24.88,11.22,5.42,56724.3,55002,20170405,42.06657433,-91.7700979,54.72,270.386,98.45,278.176,601761.077,4657894.352,309.915,12.828,0.94,-39.776,61.9,61.9,72.36,87.73,88.81,87.04,85.3,80.09,72.25,65.18,58.79,53.04,47.84,39.32,29.97,22.84,17.4,13.26,10.11,-99999.0,-99999.0
10010,601751.359,4657899.756,3892.4,278.169,247.923,54.68,81.583,224.684,53712.128,-5.703,53717.799,53954.82,-228.112,0.0008518,4.28e-05,0.000202,20.709,31.657,59.009,83.221,22.9,38.468,133.665,135.898,426.947,232.928,603.496,166.193,21.282,29.74,56.599,84.342,21.839,39.48,139.66,138.132,434.922,235.866,609.418,168.717,21.234,30.198,56.616,84.338,21.839,39.581,166.956,165.614,434.794,235.793,609.24,168.372,23.31,60.92,131.06,83.2,80.95,61.83,28.41,3.67,-5.58,-0.65,-3.17,-1.3,8.41,46.29,85.12,90.07,61.83,93.94,62.43,32.43,15.74,5.94,62.08,46.03,24.91,11.2,5.42,56724.4,55002,20170405,42.06657496,-91.77010734,54.69,262.222,98.439,278.169,601760.391,4657894.572,309.899,12.89,1.127,-40.407,61.83,61.83,72.27,87.55,88.78,87.29,85.83,80.8,73.0,65.95,59.58,53.83,48.63,40.28,30.73,23.45,17.89,13.65,10.41,-99999.0,-99999.0
10010,601750.577,4657899.815,3892.5,278.162,245.854,54.679,81.581,224.682,53712.192,-5.702,53717.762,53954.821,-228.155,0.001223,3.76e-05,0.0003154,20.512,30.48,58.908,83.374,22.942,38.624,134.28,136.108,428.404,234.33,604.834,165.726,21.067,29.728,56.363,84.292,21.901,39.584,139.72,138.654,435.704,236.258,609.586,168.562,21.019,30.187,56.379,84.288,21.901,39.684,167.028,166.24,435.576,236.185,609.408,168.217,23.72,61.32,130.78,83.56,80.83,61.68,28.08,3.59,-5.61,-0.76,-3.19,-1.29,8.72,46.69,85.91,89.94,61.68,94.54,62.61,32.47,15.73,5.93,62.63,46.19,24.97,11.2,5.41,56724.5,55002,20170405,42.06657559,-91.77011679,54.78,267.487,98.463,278.162,601759.704,4657894.792,309.883,12.914,1.294,-41.046,61.68,61.68,72.14,87.45,88.89,87.69,86.5,81.63,73.78,66.68,60.26,54.46,49.22,41.18,31.66,24.34,18.72,14.39,11.06,8.72,-99999.0
10010,601749.794,4657899.873,3892.6,278.155,247.331,54.676,81.577,224.679,53712.268,-5.701,53717.729,53954.823,-228.193,0.0009905,3.89e-05,0.0001614,20.395,29.588,58.738,83.616,22.9,38.792,135.588,136.652,429.568,235.314,605.873,165.957,20.782,29.731,56.189,84.243,22.005,39.661,139.775,139.272,436.429,236.825,609.773,168.225,20.734,30.189,56.206,84.239,22.006,39.762,167.093,166.982,436.301,236.752,609.595,167.88,24.3,61.61,130.03,84.01,80.85,61.39,27.58,3.54,-5.56,-0.89,-3.23,-1.28,9.21,46.89,86.75,89.95,61.39,95.27,62.76,32.53,15.73,5.93,63.39,46.29,25.04,11.2,5.4,56724.6,55002,20170405,42.06657622,-91.77012624,54.68,276.108,98.446,278.155,601759.018,4657895.013,309.867,12.897,1.443,-41.691,61.39,61.39,71.95,87.43,89.13,88.17,87.23,82.5,74.52,67.31,60.79,54.91,49.59,41.91,32.63,25.4,19.77,15.39,11.99,9.33,-99999.0
10010,601749.012,4657899.932,3892.7,278.148,247.923,54.669,81.572,224.676,53712.332,-5.701,53717.701,53954.824,-228.228,0.0009426,6.23e-05,0.0002995,20.536,30.051,58.461,83.891,22.697,38.843,137.478,137.335,430.339,235.627,606.767,166.516,20.463,29.737,56.082,84.205,22.141,39.721,139.851,139.914,437.186,237.513,610.162,167.616,20.415,30.196,56.099,84.201,22.141,39.822,167.185,167.752,437.057,237.44,609.984,167.272,24.98,61.78,128.95,84.45,80.92,60.87,26.99,3.52,-5.46,-1.02,-3.27,-1.25,9.83,46.91,87.53,90.03,60.87,96.06,62.87,32.59,15.74,5.93,64.27,46.36,25.1,11.2,5.37,56724.7,55002,20170405,42.06657685,-91.77013568,54.68,263.443,98.439,278.148,601758.331,4657895.233,309.851,12.838,1.571,-42.344,60.87,60.87,71.6,87.43,89.39,88.65,87.91,83.3,75.15,67.79,61.16,55.17,49.77,42.44,33.53,26.5,20.94,16.54,13.07,10.33,-99999.0
