date,flight,Line,fiducial,Direction,GPS_Lon_Corr,GPS_Lat_Corr,GPS_Z_Corr,X,Y,Radar_Alt,dem,BaseMag_1,Mag_B_Lag,Mag_DiurCorr1,mag_anom,mag_level,igrf
17255,27,5010,30.0,326,-98.9273299586,36.1507289423,885.735,506537.09246743,4000669.15248997,354.508267672812,526.753311944304,49599.4183224932,50669.667,50685.2486775068,63.4380346265243,50663.7942251287,50600.3561905022
17255,27,5010,30.1,326,-98.92737419458,36.15078140383,885.7296,506533.108832271,4000674.96841219,354.48349934172,526.556388401556,49599.4187286842,50669.669,50685.2502713158,63.4133822534568,50663.7962251287,50600.3828428753
17255,27,5010,30.2,326,-98.92741843056,36.15083386536,885.7242,506529.125202409,4000680.78433626,354.439577232546,526.370748213257,49599.4191491498,50669.671,50685.2518508502,63.3887299229245,50663.7982251287,50600.4094952058
17255,27,5010,30.3,326,-98.92746266654,36.15088632689,885.7188,506525.141577841,4000686.6002622,354.371364227399,526.196491634361,49599.4195834933,50669.674,50685.2544165067,63.3650776350478,50663.8012251287,50600.4361474937
17255,27,5010,30.4,326,-98.92750690252,36.15093878842,885.7134,506521.157958571,4000692.41619,354.284855652777,526.033597186852,49599.4200312894,50669.677,50685.2569687107,63.3414253898882,50663.8042251287,50600.4627997389
17255,27,5010,30.5,326,-98.9275511385,36.15099124995,885.708,506517.174344596,4000698.23211965,354.194091056552,525.88215410413,49599.4204920857,50669.679,50685.2585079143,63.3167731873473,50663.8062251287,50600.4894519414
17255,27,5010,30.6,326,-98.92759537448,36.15104371148,885.7026,506513.190735917,4000704.04805117,354.111415110617,525.821910240006,49599.4209654042,50669.682,50685.2610345958,63.2931210274037,50663.8092251287,50600.5161041013
17255,27,5010,30.7,326,-98.92763961046,36.15109617301,885.6972,506509.207132535,4000709.86398455,354.036335059615,525.846470174519,49599.4214507422,50669.685,50685.2635492578,63.2694689101772,50663.8122251287,50600.5427562186
17255,27,5010,30.8,326,-98.92768384644,36.15114863454,885.6918,506505.22353445,4000715.67991979,353.95825516451,525.875800941544,49599.4219475747,50669.689,50685.2670524253,63.2468168354244,50663.8162251287,50600.5694082933
17255,27,5010,30.9,326,-98.92772808242,36.15120109607,885.6864,506501.23994166,4000721.49585688,353.865517384042,525.913031166549,49599.4224553557,50669.692,50685.2695446443,63.2231648034358,50663.8192251287,50600.5960603253
17255,27,5010,31.0,326,-98.9277723184,36.1512535576,885.681,506497.256354166,4000727.31179584,353.750901276807,526.004948626416,49599.42297352,50669.696,50685.27302648,63.2005128141536,50663.8232251287,50600.6227123146
17255,27,5010,31.1,326,-98.92781663034,36.15130605107,885.7143,506493.265936342,4000733.13127428,353.617088160283,526.088028658123,49599.4235014848,50669.697,50685.2734985152,63.1758448663604,50663.8242251287,50600.6483802624
17255,27,5010,31.2,326,-98.92786094228,36.15135854454,885.747599999999,506489.275523825,4000738.95075459,353.482869341996,526.162075596077,49599.4240386523,50669.697,50685.2729613477,63.1501769623283,50663.8242251287,50600.6740481664
17255,27,5010,31.3,326,-98.92790525422,36.15141103801,885.780900000001,506485.285116618,4000744.77023676,353.380254319436,526.227126980738,49599.4245844107,50669.696,50685.2714155893,63.1235091020208,50663.8232251287,50600.6997160267
17255,27,5010,31.4,326,-98.92794956616,36.15146353148,885.8142,506481.294714718,4000750.58972081,353.34317824805,526.28324391973,49599.4251381363,50669.695,50685.2698618637,63.0968412854345,50663.8222251287,50600.7253838433
17255,27,5010,31.5,326,-98.9279938781,36.15151602495,885.8475,506477.304318128,4000756.40920671,353.400135129307,526.330449426058,49599.4256991963,50669.695,50685.2693008037,63.0711735124787,50663.8222251287,50600.7510516163
17255,27,5010,31.6,326,-98.92803819004,36.15156851842,885.8808,506473.313926847,4000762.22869448,353.568332895276,526.36882190828,49599.4262669494,50669.695,50685.2687330506,63.0455057833897,50663.8222251287,50600.7767193453
17255,27,5010,31.7,326,-98.92808250198,36.15162101189,885.914099999999,506469.323540875,4000768.04818412,353.851007780046,526.398369357277,49599.4268407487,50669.696,50685.2691592513,63.0208380978802,50663.8232251287,50600.8023870309
17255,27,5010,31.8,326,-98.92812681392,36.15167350536,885.947400000001,506465.333160209,4000773.86767563,354.238787694864,526.419187521828,49599.4274199438,50669.698,50685.2705800563,62.9971704561613,50663.8252251287,50600.8280546726
17255,27,5010,31.9,326,-98.92817112586,36.15172599883,885.980700000001,506461.342784854,4000779.687169,354.713154848962,526.431268947392,49599.4280038819,50669.702,50685.2739961181,62.9755028581421,50663.8292251287,50600.8537222706
17255,27,5010,32.0,326,-98.9282154378,36.1517784923,886.014,506457.352414806,4000785.50666424,355.250803929635,526.434726657326,49599.4285919112,50669.706,50685.2774080888,62.9538353038006,50663.8332251287,50600.8793898249
17255,27,5010,32.1,326,-98.92825971655,36.15183107592,886.085499999999,506453.365028275,4000791.33616276,355.829161288363,526.429459624578,49599.4291833817,50669.708,50685.2788166183,62.9310989975129,50663.8352251287,50600.9041261312
17255,27,5010,32.2,326,-98.9283039953,36.15188365954,886.156999999998,506449.377647057,4000797.16566314,356.426552503276,526.41566679913,49599.4297776482,50669.712,50685.2822223518,62.9103627359509,50663.8392251287,50600.9288623928
17255,27,5010,32.3,326,-98.92834827405,36.15193624316,886.228500000002,506445.390271151,4000802.99516539,357.022039103972,526.393308908549,49599.4303740721,50669.717,50685.2866259279,62.8906265192272,50663.8442251287,50600.9535986095
17255,27,5010,32.4,326,-98.9283925528,36.15198882678,886.300000000001,506441.402900561,4000808.8246695,357.597080058673,526.272001524502,49599.4309720234,50669.723,50685.2920279766,62.8718903470508,50663.8502251287,50600.9783347817
17255,27,5010,32.5,326,-98.92843683155,36.1520414104,886.3715,506437.415535283,4000814.65417548,358.140188297834,526.009437274377,49599.4315708836,50669.732,50685.3004291164,62.8561542197422,50663.8592251287,50601.003070909
17255,27,5010,32.6,326,-98.9284811103,36.15209399402,886.442999999999,506433.42817532,4000820.48368331,358.656201682374,525.718639180803,49599.4321700473,50669.745,50685.3128299527,62.8444181370214,50663.8722251287,50601.0278069917
17255,27,5010,32.7,326,-98.92852538905,36.15214657764,886.514499999998,506429.440820671,4000826.31319301,359.17246459413,525.378560486353,49599.4327689249,50669.762,50685.3292310751,62.8366820990996,50663.8892251287,50601.0525430296
17255,27,5010,32.8,326,-98.9285696678,36.15219916126,886.586000000002,506425.453471335,4000832.14270458,359.731647984023,524.924562242608,49599.4333669447,50669.776,50685.3426330553,62.8259461058115,50663.9032251287,50601.0772790229
17255,27,5010,32.9,326,-98.92861394655,36.15225174488,886.657500000001,506421.466127312,4000837.97221801,360.37375887622,524.476861941521,49599.4339635548,50669.784,50685.3500364452,62.809210157262,50663.9112251287,50601.1020149715
17255,27,5010,33.0,326,-98.9286582253,36.1523043285,886.729,506417.478788605,4000843.8017333,361.118209212085,524.035654339779,49599.4345582256,50669.786,50685.3514417744,62.7864742534148,50663.9132251287,50601.1267508753
17255,27,5010,33.1,326,-98.92870239085,36.15235699655,886.775799999999,506413.501631126,4000849.6406227,361.952931959403,523.600680333297,49599.4351504513,50669.787,50685.3518495487,62.7620472254857,50663.9142251287,50601.1521779033
17255,27,5010,33.2,326,-98.9287465564,36.1524096646,886.822599999999,506409.524478955,4000855.47951395,362.831636956742,523.172299295397,49599.4357397518,50669.79,50685.3542602482,62.7396202417003,50663.9172251287,50601.177604887
17255,27,5010,33.3,326,-98.92879072195,36.15246233265,886.869400000001,506405.547332092,4000861.31840705,363.684778491752,522.750391189056,49599.4363256745,50669.796,50685.3596743255,62.7201933018878,50663.9232251287,50601.2030318269
17255,27,5010,33.4,326,-98.9288348875,36.1525150007,886.916200000001,506401.570190538,4000867.15730201,364.439003172944,522.33517945401,49599.4369077952,50669.807,50685.3700922048,62.705766406325,50663.9342251287,50601.2284587224
17255,27,5010,33.5,326,-98.92887905305,36.15256766875,886.963,506397.593054294,4000872.99619882,365.036878059858,521.926528474091,49599.4374857197,50669.823,50685.3855142803,62.6963395549174,50663.9502251287,50601.2538855738
17255,27,5010,33.6,326,-98.9289232186,36.1526203368,887.009799999999,506393.615923359,4000878.83509748,365.454530827386,521.524674791635,49599.4380590846,50669.843,50685.4049409154,62.6909127476174,50663.9702251287,50601.2793123811
17255,27,5010,33.7,326,-98.92896738415,36.15267300485,887.056599999999,506389.63879773,4000884.67399801,365.706503961556,521.129467620454,49599.4386275586,50669.864,50685.4253724414,62.68648598453,50663.9912251287,50601.3047391442
17255,27,5010,33.8,326,-98.9290115497,36.1527256729,887.103400000001,506385.661677412,4000890.51290038,365.834588456434,520.741155664422,49599.4391908425,50669.886,50685.4468091575,62.683059265386,50664.0132251287,50601.3301658634
17255,27,5010,33.9,326,-98.92905571525,36.15277834095,887.150200000001,506381.684562402,4000896.35180462,365.887577618571,520.490220022656,49599.439748671,50669.908,50685.468251329,62.679632590487,50664.0352251287,50601.3555925383
17255,27,5010,34.0,326,-98.9290998808,36.152831009,887.197,506377.707452703,4000902.1907107,365.904512128776,520.270755330992,49599.4403008125,50669.932,50685.4916991875,62.6782059597826,50664.0592251287,50601.381019169
17255,27,5010,34.1,326,-98.92914393261,36.15288384039,887.238299999999,506373.740566389,4000908.04774337,365.902035738918,520.059201287672,49599.44084707,50669.958,50685.51715293,62.6785384577597,50664.0852251287,50601.406686671
17255,27,5010,34.2,326,-98.92918798442,36.15293667178,887.279599999999,506369.773685386,4000913.90477788,365.873669489266,519.855895557942,49599.4413872819,50669.984,50685.5426127181,62.6788709998655,50664.1112251287,50601.4323541289
17255,27,5010,34.3,326,-98.92923203623,36.15298950317,887.320900000001,506365.806809694,4000919.76181424,365.799223235709,519.660645208066,49599.4419213219,50670.008,50685.5660786781,62.6772035861213,50664.1352251287,50601.4580215426
17255,27,5010,34.4,326,-98.92927608804,36.15304233456,887.362200000001,506361.839939316,4000925.61885244,365.657465469179,519.473729031795,49599.4424491003,50670.032,50685.5895508997,62.6755362163021,50664.1592251287,50601.4836889124
17255,27,5010,34.5,326,-98.92932013985,36.15309516595,887.4035,506357.873074248,4000931.47589249,365.440874266431,519.294941452949,49599.4429705636,50670.055,50685.6120294364,62.6728688907751,50664.1822251287,50601.509356238
17255,27,5010,34.6,326,-98.92936419166,36.15314799734,887.444799999999,506353.906214492,4000937.33293438,365.161616998016,519.124568960429,49599.4434856954,50670.079,50685.6355143046,62.6712016092933,50664.2062251287,50601.5350235194
17255,27,5010,34.7,326,-98.92940824347,36.15320082873,887.486099999999,506349.939360049,4000943.18997812,364.848006602151,518.962394182626,49599.4439945159,50670.103,50685.6590054841,62.6695343719548,50664.2302251287,50601.5606907568
17255,27,5010,34.8,326,-98.92945229528,36.15325366012,887.527400000001,506345.972510915,4000949.04702371,364.533812880401,518.80871004201,49599.4444970826,50670.128,50685.6835029174,62.6688671786033,50664.2552251287,50601.5863579501
17255,27,5010,34.9,326,-98.92949634709,36.15330649151,887.568700000001,506342.005667093,4000954.90407114,364.247070510368,518.691763742645,49599.4449934896,50670.155,50685.7100065104,62.6702000294026,50664.2822251287,50601.6120250993
17255,27,5010,35.0,326,-98.9295403989,36.1533593229,887.61,506338.038828584,4000960.76112042,364.003355598994,518.602235588372,49599.4454838676,50670.184,50685.7385161324,62.6735329243165,50664.3112251287,50601.6376922044
17255,27,5010,35.1,326,-98.92958424876,36.15341237846,887.6099,506334.090143318,4000966.64304909,363.801663528379,518.531806045323,49599.4459683835,50670.213,50685.7670316166,62.6756601689049,50664.3402251287,50601.6645649598
17255,27,5010,35.2,326,-98.92962809862,36.15346543402,887.6098,506330.141463363,4000972.52497959,363.629415238611,518.480946270859,49599.4464472393,50670.243,50685.7965527607,62.6787874565853,50664.3702251287,50601.6914376722
17255,27,5010,35.3,326,-98.92967194848,36.15351848958,887.6097,506326.192788716,4000978.40691191,363.474709081647,518.495488576063,49599.446920672,50670.273,50685.826079328,62.6819147874266,50664.4002251287,50601.7183103413
17255,27,5010,35.4,326,-98.92971579834,36.15357154514,887.6096,506322.244119381,4000984.28884607,363.335555689119,518.621793041222,49599.4473889521,50670.301,50685.8536110479,62.6830421613995,50664.4282251287,50601.7451829673
17255,27,5010,35.5,326,-98.9297596482,36.1536246007,887.6095,506318.295455354,4000990.17078206,363.218699054633,518.761550933598,49599.4478523828,50670.33,50685.8821476172,62.6851695785954,50664.4572251287,50601.7720555501
17255,27,5010,35.6,326,-98.92980349806,36.15367765626,887.6094,506314.346796635,4000996.05271987,363.132364439535,518.915067297498,49599.4483112984,50670.36,50685.9116887016,62.6882970388615,50664.4872251287,50601.7989280899
17255,27,5010,35.7,326,-98.92984734792,36.15373071182,887.6093,506310.398143229,4001001.93465952,363.078409378639,519.082080625565,49599.4487660638,50670.391,50685.9422339362,62.6924245422924,50664.5182251287,50601.8258005864
17255,27,5010,35.8,326,-98.92989119778,36.15378376738,887.6092,506306.449495131,4001007.816601,363.049726360158,519.262895446494,49599.4492170719,50670.425,50685.9757829282,62.6995520888886,50664.5522251287,50601.8526730399
17255,27,5010,35.9,326,-98.92993504764,36.15383682294,887.6091,506302.500852344,4001013.6985443,363.032566062464,519.457244775778,49599.4496647427,50670.458,50686.0083352573,62.7056796785691,50664.5852251287,50601.8795454502
17255,27,5010,36.0,326,-98.9299788975,36.1538898785,887.609,506298.552214866,4001019.58048944,363.007164066512,519.665431185744,49599.4501095217,50670.493,50686.0428904783,62.7138073114402,50664.6202251287,50601.9064178173
17255,27,5010,36.1,326,-98.93002280431,36.15394304877,887.589,506294.598450755,4001025.47515606,362.951923093935,519.887627320346,49599.4505518774,50670.529,50686.0784481226,62.7223617565469,50664.6562251287,50601.9338633722
17255,27,5010,36.2,326,-98.93006671112,36.15399621904,887.569000000001,506290.644691972,4001031.36982452,362.850604038791,520.123728416943,49599.4509922999,50670.565,50686.1140077001,62.7309162444362,50664.6922251287,50601.9613088843
17255,27,5010,36.3,326,-98.93011061793,36.15404938931,887.548999999999,506286.690938517,4001037.26449481,362.698062771126,520.373460186643,49599.4514312986,50670.6,50686.1485687014,62.7384707750607,50664.7272251287,50601.9887543537
17255,27,5010,36.4,326,-98.93015452474,36.15410255958,887.529,506282.737190391,4001043.15916693,362.500424831161,520.637116942656,49599.4518693999,50670.635,50686.1831306001,62.7460253485042,50664.7622251287,50602.0161997802
17255,27,5010,36.5,326,-98.93019843155,36.15415572985,887.509,506278.783447594,4001049.05384089,362.266062535501,520.914422619994,49599.4523071453,50670.669,50686.2166928547,62.7525799646755,50664.7962251287,50602.0436451641
17255,27,5010,36.6,326,-98.93024233836,36.15420890012,887.489,506274.829710123,4001054.94851668,361.999647825445,521.205665255064,49599.4527450885,50670.702,50686.2492549115,62.7581346236766,50664.8292251287,50602.0710905051
17255,27,5010,36.7,326,-98.93028624517,36.15426207039,887.469000000001,506270.875977982,4001060.84319431,361.70075094655,521.510568277222,49599.4531837935,50670.736,50686.2828162065,62.7646893253768,50664.8632251287,50602.0985358034
17255,27,5010,36.8,326,-98.93033015198,36.15431524066,887.448999999999,506266.922251168,4001066.73787378,361.364019499291,521.623553800599,49599.4536238317,50670.77,50686.3163761684,62.7712440698306,50664.8972251287,50602.1259810589
17255,27,5010,36.9,326,-98.93037405879,36.15436841093,887.429,506262.968529682,4001072.63255507,360.982442143149,521.709382077112,49599.4540657794,50670.807,50686.3529342206,62.7807988571658,50664.9342251287,50602.1534262716
17255,27,5010,37.0,326,-98.9304179656,36.1544215812,887.409,506259.014813526,4001078.52723821,360.553618332699,521.847241132324,49599.4545102155,50670.846,50686.3914897845,62.7923536872113,50664.9732251287,50602.1808714415
17255,27,5010,37.1,326,-98.93046190226,36.15447499398,887.356900000001,506255.058398383,4001084.44881986,360.087383206411,522.174925504869,49599.4549577185,50670.886,50686.4310422815,62.8039475195765,50665.0132251287,50602.2092776092
17255,27,5010,37.2,326,-98.93050583892,36.15452840676,887.304800000001,506251.101988598,4001090.37040334,359.60826696186,522.532025731684,49599.4554088641,50670.926,50686.4705911359,62.815541393953,50665.0532251287,50602.2376837348
17255,27,5010,37.3,326,-98.93054977558,36.15458181954,887.252699999999,506247.145584168,4001096.29198867,359.151388961194,522.918271344756,49599.4558642227,50670.963,50686.5071357773,62.8241353105259,50665.0902251287,50602.2660898182
17255,27,5010,37.4,326,-98.93059371224,36.15463523232,887.200599999999,506243.189185094,4001102.21357583,358.754328726935,523.33391158527,49599.4563243564,50670.999,50686.5426756436,62.8317292692373,50665.1262251287,50602.2944958595
17255,27,5010,37.5,326,-98.9306376489,36.1546886451,887.1485,506239.232791377,4001108.13516483,358.448576136659,523.778680544713,49599.4567898165,50671.031,50686.5742101835,62.8353232700902,50665.1582251287,50602.3229018587
